,NPI,NPPES_last_name,NPPES_first_name,NPPES_zip_code,NPPES_state,Speciality_Description,YEAR,Total_Claim_Count,Opioid_Claim_Count,Long-Acting_Opioid_Claim_Count,ZIP,COUNTY
38,1003000423,VELOTTA,JENNIFER,44106,OH,Obstetrics/Gynecology,2013,143,0,0,44106,Cuyahoga
39,1003000423,VELOTTA,JENNIFER,44106,OH,Obstetrics/Gynecology,2014,116,0,0,44106,Cuyahoga
40,1003000423,VELOTTA,JENNIFER,44106,OH,Obstetrics/Gynecology,2015,97,0,0,44106,Cuyahoga
41,1003016205,CASH,ADAM,44106,OH,Plastic and Reconstructive Surgery,2013,86,32,0,44106,Cuyahoga
42,1003029026,KIM,YU HYON,44106,OH,Ophthalmology,2016,86,0,0,44106,Cuyahoga
43,1003029026,KIM,YU HYON,44106,OH,Ophthalmology,2017,504,0,0,44106,Cuyahoga
44,1003000480,ROTHCHILD,KEVIN,80045,CO,General Surgery,2013,55,11,0,80045,Adams
45,1003000480,ROTHCHILD,KEVIN,80045,CO,General Surgery,2013,55,11,0,80045,Arapahoe
46,1003000480,ROTHCHILD,KEVIN,80045,CO,General Surgery,2014,67,0,0,80045,Adams
47,1003000480,ROTHCHILD,KEVIN,80045,CO,General Surgery,2014,67,0,0,80045,Arapahoe
48,1003000480,ROTHCHILD,KEVIN,80045,CO,General Surgery,2015,63,17,0,80045,Adams
49,1003000480,ROTHCHILD,KEVIN,80045,CO,General Surgery,2015,63,17,0,80045,Arapahoe
50,1003000480,ROTHCHILD,KEVIN,80045,CO,General Surgery,2016,71,13,0,80045,Adams
51,1003000480,ROTHCHILD,KEVIN,80045,CO,General Surgery,2016,71,13,0,80045,Arapahoe
52,1003000480,ROTHCHILD,KEVIN,80045,CO,General Surgery,2017,45,0,0,80045,Adams
53,1003000480,ROTHCHILD,KEVIN,80045,CO,General Surgery,2017,45,0,0,80045,Arapahoe
54,1003014259,TERAVEST,ERIN,80045,CO,Physician Assistant,2016,16,0,0,80045,Adams
55,1003014259,TERAVEST,ERIN,80045,CO,Physician Assistant,2016,16,0,0,80045,Arapahoe
56,1003014259,TERAVEST,ERIN,80045,CO,Physician Assistant,2017,41,0,0,80045,Adams
57,1003014259,TERAVEST,ERIN,80045,CO,Physician Assistant,2017,41,0,0,80045,Arapahoe
58,1003000522,WEIGAND,FREDERICK,32725,FL,Family Practice,2013,5357,243,12,32725,Volusia
59,1003000522,WEIGAND,FREDERICK,32725,FL,Family Practice,2014,5408,196,0,32725,Volusia
60,1003000522,WEIGAND,FREDERICK,32725,FL,Family Practice,2015,5673,204,0,32725,Volusia
61,1003000522,WEIGAND,FREDERICK,32725,FL,Family Practice,2016,5189,183,0,32725,Volusia
62,1003000522,WEIGAND,FREDERICK,32725,FL,Family Practice,2017,4981,128,0,32725,Volusia
63,1003000530,SEMONCHE,AMANDA,18951,PA,Internal Medicine,2013,6388,206,36,18951,Bucks
64,1003000530,SEMONCHE,AMANDA,18951,PA,Internal Medicine,2013,6388,206,36,18951,Lehigh
65,1003000530,SEMONCHE,AMANDA,18951,PA,Internal Medicine,2014,5503,163,43,18951,Bucks
66,1003000530,SEMONCHE,AMANDA,18951,PA,Internal Medicine,2014,5503,163,43,18951,Lehigh
67,1003000530,SEMONCHE,AMANDA,18951,PA,Internal Medicine,2015,6401,247,59,18951,Bucks
68,1003000530,SEMONCHE,AMANDA,18951,PA,Internal Medicine,2015,6401,247,59,18951,Lehigh
69,1003000530,SEMONCHE,AMANDA,18951,PA,Internal Medicine,2016,7047,257,54,18951,Bucks
70,1003000530,SEMONCHE,AMANDA,18951,PA,Internal Medicine,2016,7047,257,54,18951,Lehigh
71,1003000530,SEMONCHE,AMANDA,18951,PA,Internal Medicine,2017,7165,168,32,18951,Bucks
72,1003000530,SEMONCHE,AMANDA,18951,PA,Internal Medicine,2017,7165,168,32,18951,Lehigh
73,1003000597,KIM,DAE,74104,OK,Urology,2014,77,23,0,74104,Tulsa
74,1003000597,KIM,DAE,74104,OK,Urology,2015,204,38,0,74104,Tulsa
75,1003000597,KIM,DAE,74104,OK,Urology,2016,462,59,0,74104,Tulsa
76,1003000597,KIM,DAE,74104,OK,Urology,2017,771,92,0,74104,Tulsa
77,1003001785,JONES,JACLYN,74104,OK,Orthopedic Surgery,2017,188,60,0,74104,Tulsa
78,1003013723,FIELDS,JUSTIN,74104,OK,Internal Medicine,2013,462,48,0,74104,Tulsa
79,1003013723,FIELDS,JUSTIN,74104,OK,Internal Medicine,2014,362,25,0,74104,Tulsa
80,1003050493,AUSCHWITZ,TYLER,74104,OK,Neurosurgery,2015,58,29,0,74104,Tulsa
81,1003050493,AUSCHWITZ,TYLER,74104,OK,Neurosurgery,2016,187,127,0,74104,Tulsa
82,1003050493,AUSCHWITZ,TYLER,74104,OK,Neurosurgery,2017,167,101,0,74104,Tulsa
83,1003000597,KIM,DAE,77030,TX,Urology,2013,13,0,0,77030,Harris
84,1003022013,CHEN,MERRY,77030,TX,Neurology,2013,348,0,0,77030,Harris
85,1003022013,CHEN,MERRY,77030,TX,Neurology,2014,348,0,0,77030,Harris
86,1003022013,CHEN,MERRY,77030,TX,Neurology,2015,408,0,0,77030,Harris
87,1003022013,CHEN,MERRY,77030,TX,Neurology,2016,408,0,0,77030,Harris
88,1003022013,CHEN,MERRY,77030,TX,Neurology,2017,388,0,0,77030,Harris
89,1003027905,PATIL,SHASHIKANT,77030,TX,Neurosurgery,2015,40,30,0,77030,Harris
90,1003038043,DUCKWORTH,EDWARD,77030,TX,Neurosurgery,2013,63,13,0,77030,Harris
91,1003038043,DUCKWORTH,EDWARD,77030,TX,Neurosurgery,2014,16,0,0,77030,Harris
92,1003038043,DUCKWORTH,EDWARD,77030,TX,Neurosurgery,2017,36,0,0,77030,Harris
93,1003040353,KRAMPITZ,GEOFFREY,77030,TX,Surgery,2017,31,21,0,77030,Harris
94,1003041443,SATPUTE,SHIRISH,77030,TX,Neurology,2013,31,0,0,77030,Harris
95,1003041443,SATPUTE,SHIRISH,77030,TX,Neurology,2014,18,0,0,77030,Harris
96,1003041443,SATPUTE,SHIRISH,77030,TX,Neurology,2016,11,0,0,77030,Harris
97,1003041443,SATPUTE,SHIRISH,77030,TX,Neurology,2017,11,0,0,77030,Harris
98,1003041567,JACKS,STEPHANIE,77030,TX,Dermatology,2016,17,0,0,77030,Harris
99,1003044322,DURAN,CASSIDY,77030,TX,Student in an Organized Health Care Education/Training Program,2013,15,11,0,77030,Harris
100,1003046822,MALHOTRA,AMEENA,77030,TX,Internal Medicine,2014,14,0,0,77030,Harris
101,1003046822,MALHOTRA,AMEENA,77030,TX,Nephrology,2013,41,0,0,77030,Harris
102,1003046822,MALHOTRA,AMEENA,77030,TX,Nephrology,2017,85,0,0,77030,Harris
103,1003000639,BENHARASH,PEYMAN,90095,CA,Cardiac Surgery,2013,80,0,0,90095,Los
104,1003000639,BENHARASH,PEYMAN,90095,CA,Cardiac Surgery,2014,52,0,0,90095,Los
105,1003000639,BENHARASH,PEYMAN,90095,CA,Cardiac Surgery,2015,28,0,0,90095,Los
106,1003000639,BENHARASH,PEYMAN,90095,CA,Cardiac Surgery,2016,49,0,0,90095,Los
107,1003000639,BENHARASH,PEYMAN,90095,CA,Cardiac Surgery,2017,25,0,0,90095,Los
108,1003024308,MORGAN,WILLIAM,90095,CA,Dentist,2014,11,0,0,90095,Los
109,1003027558,FONG,LINDA,90095,CA,Internal Medicine,2013,220,0,0,90095,Los
110,1003027558,FONG,LINDA,90095,CA,Internal Medicine,2014,442,0,0,90095,Los
111,1003027558,FONG,LINDA,90095,CA,Internal Medicine,2015,1009,0,0,90095,Los
112,1003027558,FONG,LINDA,90095,CA,Internal Medicine,2016,1183,0,0,90095,Los
113,1003027558,FONG,LINDA,90095,CA,Internal Medicine,2017,1566,0,0,90095,Los
114,1003043969,CHO,JOSHUA,90095,CA,Psychiatry,2017,284,0,0,90095,Los
115,1003000654,RHODES,CAROLINE,78258,TX,Dentist,2015,20,0,0,78258,Bexar
116,1003000654,RHODES,CAROLINE,78258,TX,Dentist,2016,13,0,0,78258,Bexar
117,1003041666,BORREGO,MARIZU,78258,TX,Physician Assistant,2013,315,27,0,78258,Bexar
118,1003041666,BORREGO,MARIZU,78258,TX,Physician Assistant,2014,509,45,0,78258,Bexar
119,1003041666,BORREGO,MARIZU,78258,TX,Physician Assistant,2015,495,41,0,78258,Bexar
120,1003041666,BORREGO,MARIZU,78258,TX,Physician Assistant,2016,795,63,12,78258,Bexar
121,1003041666,BORREGO,MARIZU,78258,TX,Physician Assistant,2017,624,45,0,78258,Bexar
122,1003000720,HERNANDEZ,OTNIEL,33012,FL,Nurse Practitioner,2013,1375,23,0,33012,Miami-Dade
123,1003000720,HERNANDEZ,OTNIEL,33012,FL,Nurse Practitioner,2014,1204,0,0,33012,Miami-Dade
124,1003000720,HERNANDEZ,OTNIEL,33012,FL,Nurse Practitioner,2015,283,0,0,33012,Miami-Dade
125,1003000720,HERNANDEZ,OTNIEL,33012,FL,Nurse Practitioner,2016,440,0,0,33012,Miami-Dade
126,1003000720,HERNANDEZ,OTNIEL,33012,FL,Nurse Practitioner,2017,535,0,0,33012,Miami-Dade
127,1003008418,CUARTAS,SANDRA,33012,FL,Dentist,2013,11,0,0,33012,Miami-Dade
128,1003008418,CUARTAS,SANDRA,33012,FL,Dentist,2014,18,0,0,33012,Miami-Dade
129,1003008418,CUARTAS,SANDRA,33012,FL,Dentist,2015,50,0,0,33012,Miami-Dade
130,1003008418,CUARTAS,SANDRA,33012,FL,Dentist,2016,48,0,0,33012,Miami-Dade
131,1003008418,CUARTAS,SANDRA,33012,FL,Dentist,2017,70,0,0,33012,Miami-Dade
132,1003024183,PARAYUELOS,YOLANDA,33012,FL,Dentist,2013,40,0,0,33012,Miami-Dade
133,1003024183,PARAYUELOS,YOLANDA,33012,FL,Dentist,2014,50,0,0,33012,Miami-Dade
134,1003024183,PARAYUELOS,YOLANDA,33012,FL,Dentist,2015,52,0,0,33012,Miami-Dade
135,1003024183,PARAYUELOS,YOLANDA,33012,FL,Dentist,2016,29,0,0,33012,Miami-Dade
136,1003024183,PARAYUELOS,YOLANDA,33012,FL,Dentist,2017,36,0,0,33012,Miami-Dade
137,1003029539,MONTEAVARO,FRANCISCO,33012,FL,General Practice,2013,80,0,0,33012,Miami-Dade
138,1003029539,MONTEAVARO,FRANCISCO,33012,FL,General Practice,2014,36,0,0,33012,Miami-Dade
139,1003029539,MONTEAVARO,FRANCISCO,33012,FL,General Practice,2015,36,0,0,33012,Miami-Dade
140,1003029539,MONTEAVARO,FRANCISCO,33012,FL,General Practice,2016,15,0,0,33012,Miami-Dade
141,1003000746,GALLEGOS,MIKE,87114,NM,Pharmacist,2017,14,0,0,87114,Bernalillo
142,1003000753,DEITLE,JAMES,97227,OR,Physician Assistant,2013,111,0,0,97227,Multnomah
143,1003000753,DEITLE,JAMES,97227,OR,Physician Assistant,2014,135,11,0,97227,Multnomah
144,1003000753,DEITLE,JAMES,97227,OR,Physician Assistant,2015,101,0,0,97227,Multnomah
145,1003000753,DEITLE,JAMES,97227,OR,Physician Assistant,2016,64,0,0,97227,Multnomah
146,1003000753,DEITLE,JAMES,97227,OR,Physician Assistant,2017,28,0,0,97227,Multnomah
147,1003007907,TAVAN,EMMANUEL,97227,OR,Internal Medicine,2013,164,0,0,97227,Multnomah
148,1003007907,TAVAN,EMMANUEL,97227,OR,Internal Medicine,2014,856,0,0,97227,Multnomah
149,1003007907,TAVAN,EMMANUEL,97227,OR,Pulmonary Disease,2015,1237,0,0,97227,Multnomah
150,1003007907,TAVAN,EMMANUEL,97227,OR,Pulmonary Disease,2016,1550,0,0,97227,Multnomah
151,1003007907,TAVAN,EMMANUEL,97227,OR,Pulmonary Disease,2017,1596,0,0,97227,Multnomah
152,1003000837,JOHN,RICHARD,93454,CA,Nurse Practitioner,2015,22,0,0,93454,San
153,1003000837,JOHN,RICHARD,93454,CA,Nurse Practitioner,2015,22,0,0,93454,Santa
154,1003000837,JOHN,RICHARD,93454,CA,Nurse Practitioner,2016,68,0,0,93454,San
155,1003000837,JOHN,RICHARD,93454,CA,Nurse Practitioner,2016,68,0,0,93454,Santa
156,1003000837,JOHN,RICHARD,93454,CA,Nurse Practitioner,2017,102,0,0,93454,San
157,1003000837,JOHN,RICHARD,93454,CA,Nurse Practitioner,2017,102,0,0,93454,Santa
158,1003000902,LOHANO,JAIVANTI,40212,KY,Family Practice,2013,2465,81,0,40212,Jefferson
159,1003000902,LOHANO,JAIVANTI,40212,KY,Family Practice,2014,3347,88,0,40212,Jefferson
160,1003000902,LOHANO,JAIVANTI,40212,KY,Family Practice,2015,5007,172,0,40212,Jefferson
161,1003000902,LOHANO,JAIVANTI,40212,KY,Family Practice,2016,6185,145,0,40212,Jefferson
162,1003000902,LOHANO,JAIVANTI,40212,KY,Family Practice,2017,7054,150,0,40212,Jefferson
163,1003000936,STELLINGWORTH,MARK,29203,SC,Cardiology,2013,188,0,0,29203,Richland
164,1003000936,STELLINGWORTH,MARK,29203,SC,Internal Medicine,2014,796,0,0,29203,Richland
165,1003000936,STELLINGWORTH,MARK,29203,SC,Internal Medicine,2015,2043,0,0,29203,Richland
166,1003000936,STELLINGWORTH,MARK,29203,SC,Internal Medicine,2016,2176,14,0,29203,Richland
167,1003000936,STELLINGWORTH,MARK,29203,SC,Internal Medicine,2017,2573,0,0,29203,Richland
168,1003001017,NICHOLS,LAWRENCE,90623,CA,Dermatology,2013,549,0,0,90623,Los
169,1003001017,NICHOLS,LAWRENCE,90623,CA,Dermatology,2013,549,0,0,90623,Orange
170,1003001017,NICHOLS,LAWRENCE,90623,CA,Dermatology,2014,472,0,0,90623,Los
171,1003001017,NICHOLS,LAWRENCE,90623,CA,Dermatology,2014,472,0,0,90623,Orange
172,1003001017,NICHOLS,LAWRENCE,90623,CA,Dermatology,2015,595,0,0,90623,Los
173,1003001017,NICHOLS,LAWRENCE,90623,CA,Dermatology,2015,595,0,0,90623,Orange
174,1003001017,NICHOLS,LAWRENCE,90623,CA,Dermatology,2016,593,0,0,90623,Los
175,1003001017,NICHOLS,LAWRENCE,90623,CA,Dermatology,2016,593,0,0,90623,Orange
176,1003001017,NICHOLS,LAWRENCE,90623,CA,Dermatology,2017,563,0,0,90623,Los
177,1003001017,NICHOLS,LAWRENCE,90623,CA,Dermatology,2017,563,0,0,90623,Orange
178,1003001132,VIGGIANELLI,MICHAEL,93409,CA,Family Practice,2013,95,0,0,93409,San
179,1003001132,VIGGIANELLI,MICHAEL,93409,CA,Family Practice,2014,179,0,0,93409,San
180,1003001132,VIGGIANELLI,MICHAEL,93409,CA,Family Practice,2015,153,0,0,93409,San
181,1003001132,VIGGIANELLI,MICHAEL,93409,CA,Family Practice,2016,152,0,0,93409,San
182,1003001132,VIGGIANELLI,MICHAEL,93409,CA,Family Practice,2017,116,0,0,93409,San
183,1003001157,KIM,DAVID,90806,CA,Pediatric Medicine,2013,52,11,0,90806,Los
184,1003001157,KIM,DAVID,90806,CA,Pediatric Medicine,2014,37,18,0,90806,Los
185,1003001207,GORJI,NILOO,06084,CT,Dentist,2013,25,0,0,06084,Tolland
186,1003001207,GORJI,NILOO,06084,CT,Dentist,2014,36,0,0,06084,Tolland
187,1003001207,GORJI,NILOO,06084,CT,Dentist,2015,30,0,0,06084,Tolland
188,1003001207,GORJI,NILOO,06084,CT,Dentist,2016,38,0,0,06084,Tolland
189,1003001207,GORJI,NILOO,06084,CT,Dentist,2017,38,0,0,06084,Tolland
190,1003001256,CARAGOL,JENNIFER,80620,CO,Family Practice,2013,188,18,0,80620,Weld
191,1003001256,CARAGOL,JENNIFER,80620,CO,Family Practice,2014,211,34,14,80620,Weld
192,1003001256,CARAGOL,JENNIFER,80620,CO,Family Practice,2015,211,23,0,80620,Weld
193,1003001256,CARAGOL,JENNIFER,80620,CO,Family Practice,2016,238,26,0,80620,Weld
194,1003001256,CARAGOL,JENNIFER,80620,CO,Family Practice,2017,216,24,0,80620,Weld
195,1003001298,WARREN,KASEY,78640,TX,Optometry,2017,11,0,0,78640,Caldwell
196,1003001298,WARREN,KASEY,78640,TX,Optometry,2017,11,0,0,78640,Hays
197,1003001298,WARREN,KASEY,78640,TX,Optometry,2017,11,0,0,78640,Travis
198,1003001363,STEVENS,CHARLES,92243,CA,Anesthesiology,2013,7484,4759,1479,92243,Imperial
199,1003001363,STEVENS,CHARLES,92243,CA,Anesthesiology,2014,5588,3371,1160,92243,Imperial
200,1003001363,STEVENS,CHARLES,92243,CA,Anesthesiology,2015,2245,1532,543,92243,Imperial
201,1003001363,STEVENS,CHARLES,92243,CA,Anesthesiology,2016,2678,1749,586,92243,Imperial
202,1003001363,STEVENS,CHARLES,92243,CA,Anesthesiology,2017,2249,1285,394,92243,Imperial
203,1003001371,KANTER,DAVID,13210,NY,Physical Medicine and Rehabilitation,2013,332,24,0,13210,Onondaga
204,1003001371,KANTER,DAVID,13210,NY,Physical Medicine and Rehabilitation,2014,437,14,0,13210,Onondaga
205,1003001371,KANTER,DAVID,13210,NY,Physical Medicine and Rehabilitation,2015,377,16,0,13210,Onondaga
206,1003001371,KANTER,DAVID,13210,NY,Physical Medicine and Rehabilitation,2016,212,0,0,13210,Onondaga
207,1003001371,KANTER,DAVID,13210,NY,Physical Medicine and Rehabilitation,2017,261,0,0,13210,Onondaga
208,1003019514,ELLIS,BRENNAN,13210,NY,Emergency Medicine,2014,52,15,0,13210,Onondaga
209,1003019514,ELLIS,BRENNAN,13210,NY,Emergency Medicine,2015,122,19,0,13210,Onondaga
210,1003019514,ELLIS,BRENNAN,13210,NY,Emergency Medicine,2016,150,29,0,13210,Onondaga
211,1003019514,ELLIS,BRENNAN,13210,NY,Emergency Medicine,2017,161,18,0,13210,Onondaga
212,1003001462,WOLSKI,MICHAL,30642,GA,Radiation Oncology,2013,46,0,0,30642,Greene
213,1003001462,WOLSKI,MICHAL,30642,GA,Radiation Oncology,2014,106,15,0,30642,Greene
214,1003001462,WOLSKI,MICHAL,30642,GA,Radiation Oncology,2015,250,41,0,30642,Greene
215,1003001462,WOLSKI,MICHAL,76508,TX,Radiation Oncology,2016,347,66,15,76508,Bell
216,1003001462,WOLSKI,MICHAL,76508,TX,Radiation Oncology,2017,198,17,0,76508,Bell
217,1003013343,BERRY,TIFFANY,76508,TX,Family Practice,2013,1767,240,13,76508,Bell
218,1003013343,BERRY,TIFFANY,76508,TX,Family Practice,2014,192,20,0,76508,Bell
219,1003001587,TRAN,MARY,06457,CT,Physician Assistant,2017,142,23,0,06457,Middlesex
220,1003001587,TRAN,MARY,13203,NY,Physician Assistant,2013,23,0,0,13203,Onondaga
221,1003001587,TRAN,MARY,13203,NY,Physician Assistant,2015,50,0,0,13203,Onondaga
222,1003001587,TRAN,MARY,13203,NY,Physician Assistant,2016,202,27,0,13203,Onondaga
223,1003001645,TRIVEDI,VINOD,95815,CA,Infectious Disease,2013,385,0,0,95815,Sacramento
224,1003001645,TRIVEDI,VINOD,95815,CA,Infectious Disease,2014,355,0,0,95815,Sacramento
225,1003001645,TRIVEDI,VINOD,95815,CA,Infectious Disease,2015,411,0,0,95815,Sacramento
226,1003001645,TRIVEDI,VINOD,95815,CA,Infectious Disease,2016,457,0,0,95815,Sacramento
227,1003001645,TRIVEDI,VINOD,95815,CA,Infectious Disease,2017,655,0,0,95815,Sacramento
228,1003001660,NEWTON,ROBERT,02446,MA,Urology,2014,12,0,0,02446,Norfolk
229,1003001660,NEWTON,ROBERT,02446,MA,Urology,2014,12,0,0,02446,Suffolk
230,1003001678,EIRICH,REBECCA,08012,NJ,Nurse Practitioner,2013,89,0,0,08012,Camden
231,1003001678,EIRICH,REBECCA,08012,NJ,Nurse Practitioner,2013,89,0,0,08012,Gloucester
232,1003001678,EIRICH,REBECCA,08012,NJ,Nurse Practitioner,2014,66,0,0,08012,Camden
233,1003001678,EIRICH,REBECCA,08012,NJ,Nurse Practitioner,2014,66,0,0,08012,Gloucester
234,1003001678,EIRICH,REBECCA,08012,NJ,Nurse Practitioner,2015,53,0,0,08012,Camden
235,1003001678,EIRICH,REBECCA,08012,NJ,Nurse Practitioner,2015,53,0,0,08012,Gloucester
236,1003001678,EIRICH,REBECCA,08012,NJ,Nurse Practitioner,2016,60,0,0,08012,Camden
237,1003001678,EIRICH,REBECCA,08012,NJ,Nurse Practitioner,2016,60,0,0,08012,Gloucester
238,1003001678,EIRICH,REBECCA,08012,NJ,Nurse Practitioner,2017,37,0,0,08012,Camden
239,1003001678,EIRICH,REBECCA,08012,NJ,Nurse Practitioner,2017,37,0,0,08012,Gloucester
240,1003001785,JONES,JACLYN,33765,FL,Orthopedic Surgery,2013,167,64,0,33765,Pinellas
241,1003001785,JONES,JACLYN,33765,FL,Orthopedic Surgery,2014,298,56,0,33765,Pinellas
242,1003001785,JONES,JACLYN,33765,FL,Orthopedic Surgery,2015,193,43,0,33765,Pinellas
243,1003001785,JONES,JACLYN,33765,FL,Orthopedic Surgery,2016,104,35,0,33765,Pinellas
244,1003001793,FLASDICK,RUDOLF,75019,TX,Internal Medicine,2013,27,0,0,75019,Dallas
245,1003001793,FLASDICK,RUDOLF,75019,TX,Internal Medicine,2013,27,0,0,75019,Denton
246,1003001793,FLASDICK,RUDOLF,75019,TX,Internal Medicine,2014,25,0,0,75019,Dallas
247,1003001793,FLASDICK,RUDOLF,75019,TX,Internal Medicine,2014,25,0,0,75019,Denton
248,1003001793,FLASDICK,RUDOLF,75019,TX,Internal Medicine,2015,29,0,0,75019,Dallas
249,1003001793,FLASDICK,RUDOLF,75019,TX,Internal Medicine,2015,29,0,0,75019,Denton
250,1003001793,FLASDICK,RUDOLF,75019,TX,Internal Medicine,2016,13,0,0,75019,Dallas
251,1003001793,FLASDICK,RUDOLF,75019,TX,Internal Medicine,2016,13,0,0,75019,Denton
252,1003001868,LINKER,PAMELA,28075,NC,Dentist,2013,67,0,0,28075,Cabarrus
253,1003001868,LINKER,PAMELA,28075,NC,Dentist,2013,67,0,0,28075,Mecklenburg
254,1003001868,LINKER,PAMELA,28075,NC,Dentist,2014,81,0,0,28075,Cabarrus
255,1003001868,LINKER,PAMELA,28075,NC,Dentist,2014,81,0,0,28075,Mecklenburg
256,1003001868,LINKER,PAMELA,28075,NC,Dentist,2015,105,0,0,28075,Cabarrus
257,1003001868,LINKER,PAMELA,28075,NC,Dentist,2015,105,0,0,28075,Mecklenburg
258,1003001868,LINKER,PAMELA,28075,NC,Dentist,2016,98,0,0,28075,Cabarrus
259,1003001868,LINKER,PAMELA,28075,NC,Dentist,2016,98,0,0,28075,Mecklenburg
260,1003001868,LINKER,PAMELA,28075,NC,Dentist,2017,96,0,0,28075,Cabarrus
261,1003001868,LINKER,PAMELA,28075,NC,Dentist,2017,96,0,0,28075,Mecklenburg
262,1003001884,SAHA,LUCILLE,48532,MI,Family Practice,2013,1588,61,0,48532,Genesee
263,1003001884,SAHA,LUCILLE,48532,MI,Family Practice,2014,2399,78,0,48532,Genesee
264,1003001884,SAHA,LUCILLE,48532,MI,Family Practice,2015,3029,87,0,48532,Genesee
265,1003001884,SAHA,LUCILLE,48532,MI,Family Practice,2016,2857,50,0,48532,Genesee
266,1003001884,SAHA,LUCILLE,48532,MI,Family Practice,2017,2981,51,0,48532,Genesee
267,1003012634,LU,DUNYUE,48532,MI,Psychiatry,2013,299,0,0,48532,Genesee
268,1003012634,LU,DUNYUE,48532,MI,Psychiatry,2014,148,12,0,48532,Genesee
269,1003012634,LU,DUNYUE,48532,MI,Psychiatry,2015,207,11,0,48532,Genesee
270,1003012634,LU,DUNYUE,48532,MI,Psychiatry,2016,205,0,0,48532,Genesee
