State,City,LatLon
Missouri,Springfiel,"37.1942, -93.2913 "
Mississippi,Jackso,"32.3158, -90.2128 "
Virginia,Alexandria,"38.8201, -77.0841 "
California,Haywar,"37.6287, -122.1024 "
Tennessee,Clarksvill,"36.5664, -87.3452 "
Colorado,Lakewoo,"39.6989, -105.1176 "
California,Lancaste,"34.6936, -118.1753 "
California,Salina,"36.6902, -121.6337 "
California,Palmdal,"34.5910, -118.1054 "
Florida,Hollywoo,"26.0310, -80.1646 "
Massachusetts,Springfiel,"42.1155, -72.5400 "
Georgia,Macon,"32.8088, -83.6942 "
Kansas,Kansas City,"39.1225, -94.7418 "
California,Sunnyval,"37.3858, -122.0263 "
California,Pomon,"34.0585, -117.7611 "
Texas,Killee,"31.0777, -97.7320 "
California,Escondid,"33.1331, -117.0740 "
Texas,Pasaden,"29.6586, -95.1506 "
Illinois,Napervill,"41.7492, -88.1620 "
Washington,Bellevu,"47.5979, -122.1565 "
Illinois,Jolie,"41.5177, -88.1488 "
Tennessee,Murfreesbor,"35.8522, -86.4160 "
Texas,Midlan,"32.0246, -102.1135 "
Illinois,Rockfor,"42.2588, -89.0646 "
New Jersey,Paterso,"40.9148, -74.1628 "
Georgia,Savanna,"32.0025, -81.1536 "
Connecticut,Bridgepor,"41.1874, -73.1958 "
California,Torranc,"33.8350, -118.3414 "
Texas,McAlle,"26.2322, -98.2464 "
New York,Syracus,"43.0410, -76.1436 "
Arizona,Surpris,"33.6706, -112.4527 "
Texas,Dento,"33.2166, -97.1414 "
California,Rosevill,"38.7690, -121.3189 "
Colorado,Thornto,"39.9194, -104.9428 "
Florida,Mirama,"25.9770, -80.3358 "
California,Pasaden,"34.1606, -118.1396 "
Texas,Mesquit,"32.7629, -96.5888 "
Kansas,Olath,"38.8843, -94.8195 "
Ohio,Dayto,"39.7774, -84.1996 "
Texas,Carrollto,"32.9884, -96.8998 "
Texas,Wac,"31.5601, -97.1860 "
California,Orang,"33.7870, -117.8613 "
California,Fullerto,"33.8857, -117.9280 "
South Carolina,Charlesto,"32.8179, -79.9590 "
Utah,West Valley Cit,"40.6885, -112.0118 "
California,Visali,"36.3273, -119.3289 "
Virginia,Hampton,"37.0480, -76.2971 "
Florida,Gainesvill,"29.6788, -82.3461 "
Michigan,Warre,"42.4929, -83.0250 "
Florida,Coral Spring,"26.2707, -80.2593 "
Iowa,Cedar Rapid,"41.9670, -91.6778 "
Texas,Round Roc,"30.5252, -97.6660 "
Michigan,Sterling Height,"42.5812, -83.0303 "
Washington,Ken,"47.3880, -122.2127 "
South Carolina,Columbi,"34.0291, -80.8980 "
California,Santa Clar,"37.3646, -121.9679 "
Connecticut,New Have,"41.3108, -72.9250 "
Connecticut,Stamfor,"41.0799, -73.5460 "
California,Concor,"37.9722, -122.0016 "
New Jersey,Elizabet,"40.6664, -74.1935 "
Georgia,Athens,"33.9496, -83.3701 "
California,Thousand Oak,"34.1933, -118.8742 "
Louisiana,Lafayette,"30.2074, -92.0285 "
California,Simi Valle,"34.2669, -118.7485 "
Kansas,Topek,"39.0347, -95.6962 "
Oklahoma,Norma,"35.2406, -97.3453 "
North Dakota,Farg,"46.8652, -96.8290 "
North Carolina,Wilmingto,"34.2092, -77.8858 "
Texas,Abilen,"32.4545, -99.7381 "
Texas,Odess,"31.8838, -102.3411 "
Missouri,Columbi,"38.951561, -92.328638 "
Texas,Pearlan,"29.5558, -95.3231 "
California,Victorvill,"34.5277, -117.3536 "
Connecticut,Hartfor,"41.7659, -72.6816 "
California,Vallej,"38.1079, -122.2640 "
Pennsylvania,Allentow,"40.5936, -75.4784 "
California,Berkele,"37.8670, -122.2991 "
Texas,Richardso,"32.9723, -96.7081 "
Colorado,Arvad,"39.8337, -105.1503 "
Michigan,Ann Arbo,"42.2761, -83.7309 "
Minnesota,Rocheste,"44.0154, -92.4772 "
Massachusetts,Cambridg,"42.3760, -71.1187 "
Texas,Sugar Lan,"29.5994, -95.6142 "
Michigan,Lansin,"42.7143, -84.5593 "
Indiana,Evansvill,"37.9877, -87.5347 "
Texas,College Statio,"30.5852, -96.2964 "
California,Fairfiel,"38.2593, -122.0321 "
Florida,Clearwate,"27.9789, -82.7666 "
Texas,Beaumon,"30.0849, -94.1453 "
Missouri,Independenc,"39.0855, -94.3521 "
Utah,Prov,"40.2453, -111.6448 "
Utah,West Jorda,"40.6024, -112.0008 "
California,Murriet,"33.5721, -117.1904 "
Florida,Palm Ba,"27.9856, -80.6626 "
California,El Mont,"34.0746, -118.0291 "
California,Carlsba,"33.1239, -117.2828 "
California,Temecul,"33.4931, -117.1317 "
California,Clovi,"36.8282, -119.6849 "
Illinois,Springfiel,"39.7911, -89.6446 "
Idaho,Meridia,"43.6142, -116.3989 "
Colorado,Westminste,"39.8822, -105.0644 "
California,Costa Mes,"33.6659, -117.9123 "
North Carolina,High Poin,"35.9900, -79.9905 "
New Hampshire,Mancheste,"42.9849, -71.4441 "
Colorado,Puebl,"38.2699, -104.6123 "
Florida,Lakelan,"28.0555, -81.9549 "
Florida,Pompano Beac,"26.2416, -80.1339 "
Florida,West Palm Beac,"26.7464, -80.1251 "
California,Antioc,"37.9791, -121.7962 "
Washington,Everet,"47.9566, -122.1914 "
California,Downe,"33.9382, -118.1309 "
Massachusetts,Lowel,"42.6390, -71.3211 "
Colorado,Centennia,"39.5906, -104.8691 "
Illinois,Elgi,"42.0396, -88.3217 "
California,Richmon,"37.9523, -122.3606 "
Illinois,Peori,"40.7515, -89.6174 "
Oklahoma,Broken Arro,"36.0365, -95.7810 "
Florida,Miami Garden,"25.9489, -80.2436 "
Montana,Billing,"45.7885, -108.5499 "
California,Jurupa Valle,"34.0026, -117.4676 "
Georgia,Sandy Spring,"33.9315, -84.3687 "
Oregon,Gresha,"45.5023, -122.4416 "
Texas,Lewisvill,"33.0466, -96.9818 "
Oregon,Hillsbor,"45.5280, -122.9357 "
California,Ventura,"34.2678, -119.2542 "
Colorado,Greele,"40.4153, -104.7697 "
California,Inglewoo,"33.9561, -118.3443 "
Connecticut,Waterbur,"41.5585, -73.0367 "
Texas,League Cit,"29.4901, -95.1091 "
California,Santa Mari,"34.9332, -120.4438 "
Texas,Tyle,"32.3173, -95.3059 "
Florida,Davie,"26.0791, -80.2850 "
California,Daly Cit,"37.7009, -122.4650 "
Colorado,Boulde,"40.0270, -105.2519 "
Texas,Alle,"33.0997, -96.6631 "
California,West Covin,"34.0559, -117.9099 "
Nevada,Spark,"39.5544, -119.7356 "
Texas,Wichita Fall,"33.9067, -98.5259 "
Wisconsin,Green Ba,"44.5207, -87.9842 "
California,San Mate,"37.5603, -122.3106 "
California,Norwal,"33.9076, -118.0835 "
California,Rialt,"34.1118, -117.3883 "
New Mexico,Las Cruce,"32.3264, -106.7897 "
California,Chic,"39.7400, -121.8356 "
California,El Cajo,"32.8017, -116.9604 "
California,Burban,"34.1901, -118.3264 "
Indiana,South Ben,"41.6769, -86.2690 "
Washington,Rento,"47.4761, -122.1920 "
California,Vist,"33.1895, -117.2386 "
Iowa,Davenpor,"41.5541, -90.6040 "
Texas,Edinbur,"26.3042, -98.1639 "
Alabama,Tuscaloos,"33.2065, -87.5346 "
Indiana,Carme,"39.9667, -86.1000 "
Washington,Spokane Valle,"47.6733, -117.2394 "
Texas,San Angel,"31.4411, -100.4505 "
California,Vacavill,"38.3539, -121.9728 "
Oregon,Ben,"44.0500, -121.3000 "
